Relative LMP error,Methods,Congestion State,System Scale,Case
0.046371742,Lossless DCOPF,Non-congested,Small systems,case6ww
0.026140402,Lossless DCOPF,Non-congested,Small systems,case6ww
0.001747213,Lossless DCOPF,Non-congested,Small systems,case6ww
0.295135,Lossless DCOPF,Non-congested,Small systems,case6ww
0.08130695,Lossless DCOPF,Non-congested,Small systems,case6ww
0.024028518,Lossless DCOPF,Non-congested,Small systems,case6ww
0.038117848,Method in [18],Non-congested,Small systems,case6ww
0.027645272,Method in [18],Non-congested,Small systems,case6ww
0.005047892,Method in [18],Non-congested,Small systems,case6ww
0.251472795,Method in [18],Non-congested,Small systems,case6ww
0.033609898,Method in [18],Non-congested,Small systems,case6ww
0.006277398,Method in [18],Non-congested,Small systems,case6ww
0.036169911,Method in [22],Non-congested,Small systems,case6ww
0.028025791,Method in [22],Non-congested,Small systems,case6ww
0.005288491,Method in [22],Non-congested,Small systems,case6ww
0.253850491,Method in [22],Non-congested,Small systems,case6ww
0.036675064,Method in [22],Non-congested,Small systems,case6ww
0.004034111,Method in [22],Non-congested,Small systems,case6ww
0.038042409,Proposed method,Non-congested,Small systems,case6ww
0.027745244,Proposed method,Non-congested,Small systems,case6ww
0.005489406,Proposed method,Non-congested,Small systems,case6ww
0.253063711,Proposed method,Non-congested,Small systems,case6ww
0.035348681,Proposed method,Non-congested,Small systems,case6ww
0.005246721,Proposed method,Non-congested,Small systems,case6ww
0.029109819,Lossless DCOPF,Non-congested,Small systems,case9
0.000396187,Lossless DCOPF,Non-congested,Small systems,case9
0.001297906,Lossless DCOPF,Non-congested,Small systems,case9
0.029117545,Lossless DCOPF,Non-congested,Small systems,case9
0.039042373,Lossless DCOPF,Non-congested,Small systems,case9
0.001297959,Lossless DCOPF,Non-congested,Small systems,case9
0.008580072,Lossless DCOPF,Non-congested,Small systems,case9
0.000395968,Lossless DCOPF,Non-congested,Small systems,case9
0.039043011,Lossless DCOPF,Non-congested,Small systems,case9
0.004797691,Method in [18],Non-congested,Small systems,case9
0.00015655,Method in [18],Non-congested,Small systems,case9
0.000109103,Method in [18],Non-congested,Small systems,case9
0.004789964,Method in [18],Non-congested,Small systems,case9
0.006815154,Method in [18],Non-congested,Small systems,case9
0.00010905,Method in [18],Non-congested,Small systems,case9
