LMP error($/MWh),Method,Bus Number,,,,,,,,,,,
-0.035816258,Proposed,1,,,,,,,,,,,
-0.032080344,Proposed,2,,,,,,,,,,,
-0.191957274,Proposed,3,,,,,,,,,,,
-0.021778019,Proposed,4,,,,,,,,,,,
0.082840489,Proposed,5,,,,,,,,,,,
0.167018157,Proposed,6,,,,,,,,,,,
0.03409099,Proposed,7,,,,,,,,,,,
0.008458575,Proposed,8,,,,,,,,,,,
-0.043281985,Proposed,9,,,,,,,,,,,
0.098659454,Proposed,10,,,,,,,,,,,
0.033454693,Proposed,11,,,,,,,,,,,
0.013844056,Proposed,12,,,,,,,,,,,
0.007049882,Proposed,13,,,,,,,,,,,
0.01201815,Proposed,14,,,,,,,,,,,
-0.086744177,Proposed,15,,,,,,,,,,,
-0.089639711,Proposed,16,,,,,,,,,,,
-0.182924992,Proposed,17,,,,,,,,,,,
-0.20725268,Proposed,18,,,,,,,,,,,
-0.066524218,Proposed,19,,,,,,,,,,,
-0.09488568,Proposed,20,,,,,,,,,,,
-0.231232921,Proposed,21,,,,,,,,,,,
-0.426742457,Proposed,22,,,,,,,,,,,
-0.135222212,Proposed,23,,,,,,,,,,,
-0.02501348,Proposed,24,,,,,,,,,,,
0.655596719,Method in [22],1,,,,,,,,,,,
0.599310192,Method in [22],1,,,,,,,,,,,
0.011753502,Method in [22],1,,,,,,,,,,,
0.22991126,Method in [22],1,,,,,,,,,,,
0.308624471,Method in [22],1,,,,,,,,,,,
0.092087239,Method in [22],1,,,,,,,,,,,
-0.289330041,Method in [22],1,,,,,,,,,,,
-0.280263161,Method in [22],1,,,,,,,,,,,
-0.109188141,Method in [22],1,,,,,,,,,,,
-0.069310689,Method in [22],1,,,,,,,,,,,
-0.106432188,Method in [22],1,,,,,,,,,,,
-0.111008744,Method in [22],1,,,,,,,,,,,
-0.220459034,Method in [22],1,,,,,,,,,,,
-0.095675881,Method in [22],1,,,,,,,,,,,
-0.071477634,Method in [22],1,,,,,,,,,,,
-0.086812052,Method in [22],1,,,,,,,,,,,
-0.110799274,Method in [22],1,,,,,,,,,,,
-0.079211052,Method in [22],1,,,,,,,,,,,
-0.10473156,Method in [22],1,,,,,,,,,,,
-0.119050675,Method in [22],1,,,,,,,,,,,
-0.077391843,Method in [22],1,,,,,,,,,,,
-0.079198394,Method in [22],1,,,,,,,,,,,
-0.126788143,Method in [22],1,,,,,,,,,,,
-0.017692429,Method in [22],1,,,,,,,,,,,
0.60218846,Method in [22],2,,,,,,,,,,,
0.672758808,Method in [22],2,,,,,,,,,,,
0.006016933,Method in [22],2,,,,,,,,,,,
0.270384065,Method in [22],2,,,,,,,,,,,
0.282905531,Method in [22],2,,,,,,,,,,,
0.114743057,Method in [22],2,,,,,,,,,,,
-0.282592738,Method in [22],2,,,,,,,,,,,
-0.272432198,Method in [22],2,,,,,,,,,,,
-0.10168468,Method in [22],2,,,,,,,,,,,
-0.063738662,Method in [22],2,,,,,,,,,,,
-0.101041494,Method in [22],2,,,,,,,,,,,
-0.105330869,Method in [22],2,,,,,,,,,,,
-0.215588935,Method in [22],2,,,,,,,,,,,
-0.09234082,Method in [22],2,,,,,,,,,,,
-0.071398447,Method in [22],2,,,,,,,,,,,
-0.085773689,Method in [22],2,,,,,,,,,,,
-0.110467309,Method in [22],2,,,,,,,,,,,
-0.079160512,Method in [22],2,,,,,,,,,,,
