Bus Number,14,,30бо,,57,,118,,500,,2383,,2736,,2737,,2746',
,LMP(congestion),Offering price,LMP(congestion),Offering price,LMP(congestion),Offering price,LMP(congestion),Offering price,LMP(congestion),Offering price,LMP(congestion),Offering price,LMP(congestion),Offering price,LMP(congestion),Offering price,LMP(congestion),Offering price
GEN 1,0,26.09277521,0,26.13119608,0,45.80994822,0,40.94788484,/,/,/,/,/,/,/,/,/,/
GEN 2,17.21228681,43.64466911,17.17924058,43.70462402,/,/,-5.43153358322242E/6,40.15468095,/,/,/,/,/,/,/,/,/,/
GEN 3,/,/,/,/,/.12526770848757,45.47926589,/.08630671664448E/5,40.57719357,/,/,/,/,/,/,/,/,/,/
GEN 4,12.92213429,40.13394339,13.37822288,40.7069693,-5.151817993,41.20090454,/,/,/,/,0,128.73,/,/,/,/,/,/
GEN 5,13.49949851,40.73292047,13.17679289,40.47990695,-8.686359111,36.66851796,-9.784581049,29.42666652,/,/,23.16931218,158.23,/,/,/,/,/,/
GEN 6,,,/,/,/,/,1.08630671664448E/5,40.78909846,/,/,/,/,/,/,/,/,/,/
GEN 7,,,,,/,/,0,40.69744188,/,/,/,/,/,/,/,/,/,/
GEN 8,,,,,,,/.3578833958056E/6,40.50749449,/,/,/,/,/,/,/,/,/,/
GEN 9,,,,,,,0,40.6442117,/,/,/,/,/,/,/,/,/,/
GEN 10,,,,,,,/,/,/,/,/,/,/,/,/,/,/,/
GEN 11,,,,,,,8.48677122378503E/8,37.80959055,/,/,/,/,/,/,/,/,/,/
GEN 12,,,,,,,0,38.03087548,/,/,/,/,/,/,/,/,/,/
GEN 13,,,,,,,-6.78941697902802E/7,40.34389421,/,/,/,/,/,/,/,/,/,/
GEN 14,,,,,,,6.78941697902802E/7,40.93490492,/4.589968488001,8.143,/,/,0,102.05,/,/,/,/
GEN 15,,,,,,,0,40.45691556,/,/,/,/,/,/,/,/,/,/
GEN 16,,,,,,,-3.39470848951401E/7,40.27718509,/,/,/,/,/,/,/,/,/,/
GEN 17,,,,,,,0,40.37560152,/,/,/,/,/,/,/,/,/,/
GEN 18,,,,,,,1.69735424475701E/7,41.07813094,/,/,/,/,/,/,/,/,/,/
GEN 19,,,,,,,/.69735424475701E/7,40.88966509,/,/,/,/,/,/,/,/,/,/
GEN 20,,,,,,,0,40.21615472,/,/,/,/,/,/,/,/,/,/
GEN 21,,,,,,,1.06084640297313E/8,39.09407092,/,/,/,/,/,/,/,/,/,/
GEN 22,,,,,,,1.06084640297313E/8,40.72623048,/,/,/,/,/,/,/,/,/,/
GEN 23,,,,,,,0,40.71769924,/,/,/,/,/,/,/,/,/,/
GEN 24,,,,,,,1.06084640297313E/8,40.73107736,/,/,/,/,/,/,/,/,/,/
GEN 25,,,,,,,-2.12169280594626E/8,39.45021678,/,/,/,/,/,/,/,/,/,/
GEN 26,,,,,,,-4.24338561189251E/8,38.69538352,/,/,/,/,/,/,/,/,/,/
GEN 27,,,,,,,/,/,/,/,/,/,/,/,/,/,/,/
GEN 28,,,,,,,0,38.18198712,/,/,/,/,/,/,/,/,/,/
GEN 29,,,,,,,2.12169280594626E/8,37.93653979,/,/,/,/,/,/,/,/,/,/
GEN 30,,,,,,,0,37.82274921,/,/,/,/,/,/,/,/,/,/
GEN 31,,,,,,,/,/,/,/,27.3613679,170.74,/,/,/,/,/,/
GEN 32,,,,,,,/,/,/,/,/,/,/,/,/,/,/,/
GEN 33,,,,,,,/,/,/,/,16.00181747,147.6,/,/,/,/,/,/
GEN 34,,,,,,,0,40.45830517,/,/,/,/,/,/,/,/,/,/
GEN 35,,,,,,,0,40.53588937,0.183404499,24.36887196,/,/,/,/,/,/,/,/
GEN 36,,,,,,,/,/,0.183404499,24.37090818,/,/,/,/,/,/,/,/
GEN 37,,,,,,,1.06084640297313E/8,38.17598245,0.183404499,24.37016242,/,/,/,/,/,/,/,/
GEN 38,,,,,,,/,/,0.183404499,24.36353068,/,/,/,/,/,/,/,/
GEN 39,,,,,,,1.06084640297313E/8,38.15214618,/,/,/,/,/,/,/,/,/,/
GEN 40,,,,,,,1.06084640297313E/8,36.41100259,/,/,/,/,/,/,/,/,/,/
GEN 41,,,,,,,/,/,/,/,/,/,/,/,/,/,/,/
GEN 42,,,,,,,/,/,/,/,/,/,/,/,/,/,/,/
GEN 43,,,,,,,/,/,/,/,/,/,/,/,/,/,/,/
GEN 44,,,,,,,/,/,/,/,/,/,/,/,/,/,/,/
GEN 45,,,,,,,1.06084640297313E/8,38.34840817,/,/,/,/,/,/,/,/,/,/
GEN 46,,,,,,,1.06084640297313E/8,39.12783761,/,/,/,/,/,/,/,/,/,/
GEN 47,,,,,,,/,/,/,/,/,/,/,/,/,/,/,/
GEN 48,,,,,,,1.06084640297313E/8,40.12000892,/,/,/,/,/,/,/,/,/,/
GEN 49,,,,,,,1.06084640297313E/8,40.59031201,/,/,/,/,/,/,/,/,/,/
GEN 50,,,,,,,1.06084640297313E/8,40.14487882,/,/,/,/,/,/,/,/,/,/
GEN 51,,,,,,,1.06084640297313E/8,39.56180584,/,/,/,/,/,/,/,/,/,/
GEN 52,,,,,,,2.12169280594626E/8,40.73331583,/,/,/,/,/,/,/,/,/,/
GEN 53,,,,,,,0,40.09627928,/,/,/,/,/,/,/,/,/,/
GEN 54,,,,,,,/,/,/,/,/,/,/,/,/,/,/,/
GEN 55,,,,,,,,,/,/,/,/,/,/,/,/,/,/
GEN 56,,,,,,,,,/,/,/,/,/,/,/,/,/,/
GEN 57,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 58,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 59,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 60,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 61,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 62,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 63,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 64,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 65,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 66,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 67,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 68,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 69,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 70,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 71,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 72,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 73,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 74,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 75,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 76,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 77,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 78,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 79,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 80,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 81,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 82,,,,,,,,,,,/,/,/,/,0.001356949,90.03,/,/
GEN 83,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 84,,,,,,,,,,,/,/,/,/,/,/,/,/
